method,store,variable,source_id,experiment_id,msft_val,osn_data_val,osn_rechunked_val,classification
DeepSD-BC,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,MRI-ESM2-0,historical,300.60247802734375,300.60247802734375,300.60247802734375,ok
DeepSD-BC,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,MRI-ESM2-0,historical,298.9033508300781,298.9033508300781,298.9033508300781,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD-BC.pr.zarr,pr,CanESM5,ssp245,0.961303174495697,0.961303174495697,0.961303174495697,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,CanESM5,ssp245,300.02520751953125,300.02520751953125,300.02520751953125,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp245.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,CanESM5,ssp245,298.6112060546875,298.6112060546875,298.6112060546875,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD-BC.pr.zarr,pr,CanESM5,ssp370,1.1138910055160522,1.1138910055160522,1.1138910055160522,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,CanESM5,ssp370,300.2061767578125,300.2061767578125,300.2061767578125,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp370.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,CanESM5,ssp370,298.9281005859375,298.9281005859375,298.9281005859375,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD-BC.pr.zarr,pr,CanESM5,ssp585,1.0986322164535522,1.0986322164535522,1.0986322164535522,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,CanESM5,ssp585,300.5640563964844,300.5640563964844,300.5640563964844,ok
DeepSD-BC,ScenarioMIP.CCCma.CanESM5.ssp585.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,CanESM5,ssp585,299.41015625,299.41015625,299.41015625,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.DeepSD-BC.pr.zarr,pr,MRI-ESM2-0,ssp245,5.935669422149658,5.935669422149658,5.935669422149658,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,MRI-ESM2-0,ssp245,300.0286560058594,300.0286560058594,300.0286560058594,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,MRI-ESM2-0,ssp245,298.3724670410156,298.3724670410156,298.3724670410156,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp370.r1i1p1f1.day.DeepSD-BC.pr.zarr,pr,MRI-ESM2-0,ssp370,5.8964385986328125,5.8964385986328125,5.8964385986328125,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp370.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,MRI-ESM2-0,ssp370,300.2012939453125,300.2012939453125,300.2012939453125,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp370.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,MRI-ESM2-0,ssp370,298.5346374511719,298.5346374511719,298.5346374511719,ok
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp585.r1i1p1f1.day.DeepSD-BC.tasmax.zarr,tasmax,MRI-ESM2-0,ssp585,300.33746337890625,300.33746337890625,nan,bad_rechunk
DeepSD-BC,ScenarioMIP.MRI.MRI-ESM2-0.ssp585.r1i1p1f1.day.DeepSD-BC.tasmin.zarr,tasmin,MRI-ESM2-0,ssp585,298.657958984375,298.657958984375,nan,bad_rechunk
GARD-MV,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-MV.pr.zarr,pr,MRI-ESM2-0,historical,6.652392387390137,6.652392387390137,6.652392387390137,ok
GARD-MV,CMIP.MRI.MRI-ESM2-0.historical.r1i1p1f1.day.GARD-MV.tasmax.zarr,tasmax,MRI-ESM2-0,historical,300.548095703125,300.548095703125,nan,bad_rechunk
GARD-MV,CMIP.NCC.NorESM2-LM.historical.r1i1p1f1.day.GARD-MV.tasmax.zarr,tasmax,NorESM2-LM,historical,299.7101745605469,299.7101745605469,nan,bad_rechunk
GARD-MV,ScenarioMIP.MRI.MRI-ESM2-0.ssp245.r1i1p1f1.day.GARD-MV.pr.zarr,pr,MRI-ESM2-0,ssp245,5.474830627441406,5.474830627441406,5.474830627441406,ok
